CODICE ISTAT,MOVIMENTO 5 STELLE,PARTITO DEMOCRATICO,LEGA SALVINI PREMIER,SÜDTIROLER VOLKSPARTEI (SVP),FRATELLI D'ITALIA,FORZA ITALIA - NOI MODERATI - PPE,ALLEANZA VERDI E SINISTRA
1034,-3.129999999999999,4.119999999999997,-0.370000000000001,,3.1400000000000006,2.120000000000001,3.51
1035,-2.299999999999999,0.8199999999999967,0.35999999999999943,,2.8699999999999974,3.950000000000001,2.59
1036,-1.48,5.5,2.3200000000000003,,2.8499999999999943,-2.9000000000000004,1.8699999999999999
1037,-2.3100000000000005,6.49,6.75,,-3.75,0.9000000000000004,4.26
1038,-2.7299999999999986,4.309999999999999,-1.08,,3.16,0.7300000000000004,4.609999999999999
1039,-3.880000000000001,4.920000000000002,-1.370000000000001,,-3.7399999999999984,7.790000000000001,2.7099999999999995
1040,-4.079999999999998,2.4999999999999982,-2.3499999999999996,,4.09,1.08,4.46
1041,1.2399999999999993,-2.0700000000000003,-2.530000000000001,,9.309999999999999,1.3599999999999994,2.2199999999999998
1042,-1.46,3.2699999999999996,2.210000000000001,,3.5400000000000027,2.7,2.0500000000000007
1043,-1.5600000000000005,2.5500000000000007,-5.75,,4.930000000000003,4.08,1.71
1044,-4.300000000000001,5.010000000000002,-0.6799999999999997,,2.34,1.1800000000000006,8.81
1045,-3.630000000000001,3.75,-0.8199999999999994,,2.16,3.59,4.97
1046,-2.880000000000001,2.08,-0.8899999999999988,,3.1899999999999977,1.4600000000000009,5.8999999999999995
1047,-3.2600000000000007,3.020000000000003,-0.8499999999999996,,3.849999999999998,1.290000000000001,4.2
1048,-2.9800000000000004,4.539999999999999,0.7399999999999993,,4.699999999999999,-0.5099999999999998,3.7
1049,-1.1399999999999997,0.5899999999999999,0.5099999999999998,,0.10000000000000142,3.6400000000000006,4.3100000000000005
1050,-2.3100000000000005,-1.5,0.7599999999999998,,6.32,3.8999999999999986,3.16
1051,-4.959999999999999,-0.3100000000000023,-1.4200000000000008,,4.770000000000003,1.0700000000000003,2.4099999999999993
1052,4.209999999999999,-2.6899999999999995,-7.610000000000001,,12.889999999999997,-3.8499999999999996,5.44
1053,-2.3200000000000003,3.0500000000000007,-0.6699999999999999,,3.789999999999999,1.58,3.29
1054,-3.51,0.10999999999999943,7.119999999999999,,5.469999999999999,-2.9800000000000004,2.7100000000000004
1055,-5.530000000000001,4.350000000000001,-1.2999999999999998,,7.740000000000002,-2.039999999999999,8.01
1056,-1.7800000000000002,8.23,-1.9800000000000004,,2.8999999999999986,-2.379999999999999,4.9399999999999995
1057,0.1299999999999999,-1.75,-1.290000000000001,,8.96,-5.02,7.379999999999999
1058,-2.410000000000001,2.4399999999999977,-1.1600000000000001,,4.350000000000001,-0.2599999999999998,5.35
1059,-3.0200000000000014,3.6499999999999986,-1.3100000000000005,,3.349999999999998,0.8300000000000001,3.7300000000000004
1060,-1.4799999999999995,5.550000000000001,-1.6000000000000014,,-0.3100000000000023,2.3600000000000003,3.4300000000000006
1061,-2.710000000000001,15.609999999999996,-3.26,,5.760000000000002,-1.1399999999999997,-3.0699999999999985
1062,-3.290000000000001,3.84,-1.3100000000000005,,4.259999999999998,0.8600000000000012,4.83
1063,-3.1400000000000006,4.330000000000002,-1.2200000000000006,,1.8900000000000006,-0.120000000000001,4.859999999999999
1064,-4.7,1.3999999999999986,2.389999999999999,,3.080000000000002,1.9700000000000015,6.28
1065,-3.0700000000000003,4.100000000000001,0.39000000000000057,,7.299999999999997,-2.299999999999999,2.33
